text;filename;subtitle;voice;highpass;lowpass;nfilter;volume;noise;emphasis;rate;pitch;clickin;clickout;duration
information;Information;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.83
inner NDB frequency;InnerNDBFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.75
kilometers;Kilometers;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.87
knots;Knots;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.56
left;Left;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.51
mega Hertz;MegaHertz;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.96
meters;Meters;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.7
meters per second;MetersPerSecond;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.28
miles;Miles;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.71
millimeters of mercury;MillimetersOfMercury;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;1.5
minus;Minus;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.68
Zero;N-0;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.6
One;N-1;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.4
Two;N-2;nil;en-GB-Wavenet-F;4000.0;3000.0;3.0;0.0;nil;nil;nil;nil;nil;nil;0.41
