text;filename;subtitle;voice;highpass;lowpass;volume;filter;noise;emphasis;rate;pitch;duration
hundred;Hundred;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.59
ILS freuency;ILSFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.35
inches of mercury;InchesOfMercury;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.17
information;Information;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.72
inner NDB frequency;InnerNDBFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.71
kilometers;Kilometers;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.84
knots;Knots;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.56
left;Left;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.5
mega Hertz;MegaHertz;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.96
meters;Meters;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.67
meters per second;MetersPerSecond;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.28
miles;Miles;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.69
millimeters of mercury;MillimetersOfMercury;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.43
minus;Minus;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.66
Zero;N-0;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.56
One;N-1;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.4
Two;N-2;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.37
Three;N-3;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.29
Four;N-4;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.32
Five;N-5;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.33
Six;N-6;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.57
Seven;N-7;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.38
Eight;N-8;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.45
Niner;N-9;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.49
nautical miles;NauticalMiles;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.21
none;None;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.42
outer NDB frequency;OuterNDBFrequency;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.78
PRMG channel;PRMGChannel;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.38
QFE;QFE;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.95
QNH;QNH;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;1.16
rain;Rain;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.42
right;Right;nil;en-GB-Wavenet-F;4000.0;3000.0;10.0;10.0;-25.0;nil;nil;nil;0.47
